Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
WS,Whitfield,2647.0,466.0,775.0,220.0,3.0,1464.0,77.0,216.0,118.0,1.0,412.0,24.0,23.0,10.0,0.0,57.0,1933.0,73.0
Pembroke,Bryan,2653.0,235.0,729.0,125.0,0.0,1089.0,109.0,332.0,106.0,0.0,547.0,15.0,25.0,8.0,0.0,48.0,1684.0,63.5
Danielsiding,Bryan,2291.0,229.0,817.0,147.0,0.0,1193.0,48.0,198.0,162.0,0.0,408.0,21.0,32.0,13.0,0.0,66.0,1667.0,72.8
Ellabell,Bryan,2341.0,367.0,786.0,114.0,1.0,1268.0,63.0,144.0,92.0,0.0,299.0,17.0,14.0,5.0,0.0,36.0,1603.0,68.5
Black Creek,Bryan,2995.0,344.0,911.0,154.0,1.0,1410.0,93.0,205.0,97.0,0.0,395.0,13.0,19.0,9.0,0.0,41.0,1846.0,61.6
Ways Station,Bryan,1974.0,169.0,455.0,69.0,1.0,694.0,71.0,269.0,185.0,1.0,526.0,10.0,24.0,6.0,0.0,40.0,1260.0,63.8
RH Rec Complex,Bryan,3264.0,200.0,791.0,126.0,1.0,1118.0,116.0,473.0,269.0,0.0,858.0,13.0,39.0,17.0,0.0,69.0,2045.0,62.7
JF Gregory Park,Bryan,2885.0,148.0,1301.0,209.0,0.0,1658.0,40.0,311.0,183.0,0.0,534.0,11.0,41.0,3.0,0.0,55.0,2247.0,77.9
Keller,Bryan,4270.0,310.0,1711.0,205.0,0.0,2226.0,90.0,547.0,311.0,0.0,948.0,10.0,53.0,19.0,0.0,82.0,3256.0,76.3
Hwy 144 East,Bryan,5365.0,318.0,1862.0,321.0,0.0,2501.0,129.0,840.0,377.0,1.0,1347.0,17.0,69.0,19.0,0.0,105.0,3953.0,73.7
Public Safety Complex,Bryan,2570.0,198.0,620.0,92.0,0.0,910.0,94.0,360.0,180.0,1.0,635.0,19.0,29.0,9.0,0.0,57.0,1602.0,62.3
Hollis Hand,Troup,3554.0,449.0,1153.0,449.0,1.0,2052.0,108.0,308.0,212.0,2.0,630.0,18.0,19.0,14.0,0.0,51.0,2733.0,76.9
Administration Bldg,Troup,3907.0,157.0,366.0,133.0,3.0,659.0,366.0,575.0,414.0,4.0,1359.0,22.0,10.0,10.0,1.0,43.0,2061.0,52.8
Hammett Rd,Troup,4354.0,260.0,565.0,210.0,2.0,1037.0,422.0,808.0,428.0,4.0,1662.0,17.0,22.0,9.0,0.0,48.0,2747.0,63.1
Griggs Center,Troup,2457.0,28.0,59.0,28.0,2.0,117.0,352.0,411.0,324.0,3.0,1090.0,10.0,6.0,10.0,0.0,26.0,1233.0,50.2
West Point,Troup,2054.0,174.0,197.0,76.0,3.0,450.0,335.0,199.0,278.0,3.0,815.0,9.0,7.0,3.0,0.0,19.0,1284.0,62.5
Hogansville,Troup,3806.0,317.0,1233.0,232.0,3.0,1785.0,135.0,463.0,232.0,1.0,831.0,19.0,27.0,13.0,0.0,59.0,2675.0,70.3
East Vernon,Troup,3117.0,597.0,1023.0,327.0,4.0,1951.0,90.0,197.0,133.0,3.0,423.0,16.0,20.0,9.0,0.0,45.0,2419.0,77.6
Rosemont,Troup,3893.0,564.0,1514.0,405.0,3.0,2486.0,77.0,281.0,184.0,1.0,543.0,15.0,23.0,12.0,0.0,50.0,3079.0,79.1
McClendon,Troup,3533.0,503.0,1347.0,269.0,7.0,2126.0,117.0,317.0,177.0,1.0,612.0,12.0,22.0,5.0,0.0,39.0,2777.0,78.6
Long Cane,Troup,3249.0,602.0,945.0,214.0,3.0,1764.0,149.0,293.0,169.0,0.0,611.0,18.0,11.0,6.0,1.0,36.0,2411.0,74.2
Gardner Newman,Troup,2876.0,240.0,748.0,206.0,5.0,1199.0,179.0,472.0,207.0,1.0,859.0,12.0,18.0,4.0,0.0,34.0,2092.0,72.7
Gray Hill,Troup,1878.0,450.0,426.0,94.0,6.0,976.0,114.0,137.0,98.0,0.0,349.0,16.0,8.0,5.0,1.0,30.0,1355.0,72.2
Highland,Troup,1686.0,118.0,308.0,80.0,0.0,506.0,107.0,305.0,166.0,2.0,580.0,6.0,10.0,11.0,0.0,27.0,1113.0,66.0
Northside,Troup,2600.0,197.0,672.0,180.0,5.0,1054.0,185.0,352.0,209.0,1.0,747.0,15.0,11.0,3.0,0.0,29.0,1830.0,70.4
Riceboro Youth Center,Liberty,1083.0,30.0,108.0,21.0,0.0,159.0,101.0,319.0,200.0,0.0,620.0,2.0,6.0,2.0,0.0,10.0,789.0,72.9
Lyman Hall School,Liberty,4542.0,126.0,343.0,115.0,1.0,585.0,268.0,915.0,561.0,0.0,1744.0,32.0,43.0,22.0,0.0,97.0,2426.0,53.4
Lewis Frasier School,Liberty,4317.0,150.0,658.0,197.0,0.0,1005.0,204.0,1007.0,581.0,0.0,1792.0,12.0,31.0,22.0,0.0,65.0,2862.0,66.3
Memorial Dr East,Liberty,1976.0,45.0,128.0,50.0,1.0,224.0,108.0,416.0,273.0,2.0,799.0,12.0,11.0,10.0,0.0,33.0,1056.0,53.4
Button Gwinnett,Liberty,2304.0,76.0,90.0,39.0,0.0,205.0,72.0,134.0,95.0,0.0,301.0,10.0,14.0,16.0,0.0,40.0,546.0,23.7
Town of Allenhurst,Liberty,2398.0,85.0,225.0,78.0,0.0,388.0,157.0,701.0,337.0,0.0,1195.0,9.0,19.0,12.0,0.0,40.0,1623.0,67.7
Hinesville,Liberty,1984.0,77.0,339.0,99.0,0.0,515.0,86.0,328.0,191.0,0.0,605.0,9.0,15.0,15.0,0.0,39.0,1159.0,58.4
Liberty County Complex,Liberty,4379.0,214.0,990.0,161.0,0.0,1365.0,132.0,926.0,534.0,0.0,1592.0,11.0,32.0,17.0,0.0,60.0,3017.0,68.9
Walthourville,Liberty,3016.0,89.0,265.0,72.0,0.0,426.0,150.0,790.0,345.0,0.0,1285.0,20.0,20.0,15.0,0.0,55.0,1766.0,58.6
Fleming West,Liberty,505.0,27.0,51.0,16.0,0.0,94.0,39.0,122.0,90.0,0.0,251.0,1.0,2.0,1.0,0.0,4.0,349.0,69.1
Fleming East,Liberty,3239.0,347.0,954.0,193.0,1.0,1495.0,88.0,324.0,211.0,0.0,623.0,13.0,23.0,12.0,0.0,48.0,2166.0,66.9
Gum Branch,Liberty,3193.0,261.0,486.0,115.0,0.0,862.0,102.0,459.0,297.0,1.0,859.0,15.0,27.0,15.0,0.0,57.0,1778.0,55.7
Hinesville Lodge 271,Liberty,2646.0,97.0,229.0,94.0,0.0,420.0,161.0,564.0,347.0,0.0,1072.0,16.0,31.0,15.0,0.0,62.0,1554.0,58.7
Colquitt-Miller,Miller,3912.0,525.0,1258.0,262.0,2.0,2047.0,166.0,321.0,200.0,0.0,687.0,14.0,21.0,12.0,0.0,47.0,2781.0,71.1
East,Ben Hill,3956.0,146.0,945.0,158.0,0.0,1249.0,163.0,640.0,331.0,1.0,1135.0,8.0,18.0,11.0,0.0,37.0,2421.0,61.2
West,Ben Hill,5898.0,281.0,2198.0,349.0,0.0,2828.0,175.0,641.0,333.0,0.0,1149.0,17.0,45.0,17.0,0.0,79.0,4056.0,68.8
Bold Springs,Walton,4653.0,677.0,1769.0,514.0,2.0,2962.0,121.0,308.0,275.0,0.0,704.0,21.0,30.0,22.0,0.0,73.0,3739.0,80.4
Whatley,Walton,1254.0,239.0,501.0,131.0,0.0,871.0,23.0,50.0,48.0,0.0,121.0,9.0,3.0,0.0,0.0,12.0,1004.0,80.1
Walker Park,Walton,3858.0,513.0,1423.0,382.0,0.0,2318.0,89.0,215.0,178.0,0.0,482.0,23.0,23.0,10.0,0.0,56.0,2856.0,74.0
Gratis,Walton,1243.0,315.0,439.0,128.0,0.0,882.0,29.0,40.0,61.0,0.0,130.0,9.0,3.0,4.0,0.0,16.0,1028.0,82.7
Between,Walton,4925.0,537.0,2082.0,471.0,1.0,3091.0,98.0,373.0,251.0,0.0,722.0,23.0,44.0,19.0,0.0,86.0,3899.0,79.2
Walnut Grove,Walton,2661.0,488.0,922.0,202.0,0.0,1612.0,40.0,145.0,95.0,0.0,280.0,15.0,18.0,10.0,0.0,43.0,1935.0,72.7
Loganville North,Walton,5225.0,486.0,1570.0,454.0,4.0,2514.0,140.0,505.0,307.0,0.0,952.0,30.0,49.0,30.0,0.0,109.0,3575.0,68.4
Social Circle,Walton,4604.0,698.0,1281.0,332.0,2.0,2313.0,227.0,387.0,298.0,0.0,912.0,27.0,30.0,14.0,1.0,72.0,3297.0,71.6
South Monroe,Walton,3910.0,260.0,1180.0,306.0,0.0,1746.0,99.0,416.0,197.0,0.0,712.0,21.0,43.0,20.0,0.0,84.0,2542.0,65.0
North Monroe,Walton,4818.0,293.0,758.0,223.0,1.0,1275.0,278.0,696.0,481.0,3.0,1458.0,23.0,36.0,23.0,0.0,82.0,2815.0,58.4
Loganville South,Walton,3768.0,323.0,1079.0,375.0,0.0,1777.0,157.0,386.0,239.0,0.0,782.0,20.0,42.0,24.0,0.0,86.0,2645.0,70.2
West Walton,Walton,4219.0,543.0,1570.0,431.0,0.0,2544.0,93.0,367.0,202.0,0.0,662.0,27.0,34.0,14.0,0.0,75.0,3281.0,77.8
Broken Arrow,Walton,4380.0,549.0,1647.0,374.0,0.0,2570.0,67.0,289.0,223.0,0.0,579.0,41.0,33.0,16.0,0.0,90.0,3239.0,73.9
Bay Creek,Walton,3401.0,340.0,1385.0,333.0,1.0,2059.0,59.0,238.0,179.0,0.0,476.0,12.0,28.0,8.0,0.0,48.0,2583.0,75.9
E Monroe,Walton,4119.0,341.0,804.0,209.0,1.0,1355.0,207.0,440.0,227.0,4.0,878.0,22.0,30.0,23.0,0.0,75.0,2308.0,56.0
W Monroe,Walton,2027.0,238.0,839.0,201.0,0.0,1278.0,45.0,159.0,94.0,0.0,298.0,7.0,12.0,2.0,0.0,21.0,1597.0,78.8
Tara,Walton,4050.0,274.0,1068.0,284.0,1.0,1627.0,167.0,805.0,354.0,1.0,1327.0,12.0,31.0,14.0,1.0,58.0,3012.0,74.4
Mountain,Walton,1657.0,271.0,585.0,150.0,0.0,1006.0,44.0,79.0,55.0,0.0,178.0,7.0,9.0,5.0,0.0,21.0,1205.0,72.7
Jersey,Walton,1970.0,644.0,584.0,161.0,0.0,1389.0,42.0,71.0,48.0,0.0,161.0,18.0,8.0,7.0,0.0,33.0,1583.0,80.4
Blasingame,Walton,1115.0,393.0,313.0,93.0,0.0,799.0,34.0,36.0,36.0,1.0,107.0,9.0,4.0,3.0,0.0,16.0,922.0,82.7
Good Hope,Walton,2149.0,621.0,632.0,158.0,0.0,1411.0,49.0,102.0,74.0,0.0,225.0,22.0,10.0,5.0,0.0,37.0,1673.0,77.9
Leary,Calhoun,721.0,79.0,120.0,35.0,0.0,234.0,87.0,86.0,102.0,0.0,275.0,6.0,1.0,2.0,0.0,9.0,518.0,71.8
Morgan,Calhoun,662.0,85.0,201.0,62.0,0.0,348.0,22.0,57.0,59.0,0.0,138.0,2.0,5.0,0.0,0.0,7.0,493.0,74.5
Edison,Calhoun,523.0,23.0,33.0,13.0,0.0,69.0,72.0,98.0,60.0,0.0,230.0,1.0,2.0,1.0,0.0,4.0,303.0,57.9
Edison-Arlington,Calhoun,594.0,60.0,78.0,26.0,0.0,164.0,63.0,100.0,62.0,0.0,225.0,1.0,1.0,0.0,0.0,2.0,391.0,65.8
Arlington,Calhoun,684.0,34.0,71.0,13.0,0.0,118.0,104.0,103.0,136.0,0.0,343.0,5.0,1.0,0.0,0.0,6.0,467.0,68.3
Chauncey,Dodge,412.0,146.0,71.0,28.0,0.0,245.0,32.0,16.0,8.0,0.0,56.0,1.0,2.0,0.0,0.0,3.0,304.0,73.8
Clark,Dodge,111.0,43.0,19.0,4.0,0.0,66.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,71.0,64.0
Eddin,Dodge,1037.0,189.0,286.0,52.0,0.0,527.0,58.0,106.0,67.0,0.0,231.0,5.0,5.0,0.0,0.0,10.0,768.0,74.1
Empire,Dodge,456.0,151.0,106.0,26.0,0.0,283.0,7.0,13.0,7.0,0.0,27.0,5.0,5.0,1.0,0.0,11.0,321.0,70.4
Jaybird,Dodge,212.0,67.0,24.0,10.0,1.0,102.0,18.0,17.0,8.0,0.0,43.0,0.0,1.0,1.0,0.0,2.0,147.0,69.3
Jones,Dodge,436.0,127.0,115.0,24.0,0.0,266.0,18.0,21.0,8.0,0.0,47.0,2.0,3.0,2.0,0.0,7.0,320.0,73.4
Lee,Dodge,4816.0,368.0,1295.0,307.0,4.0,1974.0,223.0,603.0,262.0,0.0,1088.0,13.0,42.0,11.0,0.0,66.0,3128.0,65.0
McCranie,Dodge,293.0,108.0,65.0,18.0,0.0,191.0,8.0,19.0,10.0,0.0,37.0,1.0,0.0,0.0,0.0,1.0,229.0,78.2
Milan,Dodge,332.0,108.0,62.0,15.0,0.0,185.0,21.0,11.0,11.0,0.0,43.0,1.0,0.0,0.0,0.0,1.0,229.0,69.0
Mitchell,Dodge,333.0,114.0,88.0,13.0,0.0,215.0,13.0,21.0,17.0,1.0,52.0,2.0,2.0,1.0,0.0,5.0,272.0,81.7
Mullis,Dodge,505.0,172.0,58.0,46.0,0.0,276.0,39.0,20.0,13.0,0.0,72.0,6.0,1.0,2.0,0.0,9.0,357.0,70.7
Plainfield,Dodge,454.0,150.0,124.0,23.0,0.0,297.0,10.0,15.0,12.0,0.0,37.0,1.0,0.0,0.0,0.0,1.0,335.0,73.8
Pondtown,Dodge,689.0,198.0,135.0,57.0,0.0,390.0,38.0,29.0,40.0,0.0,107.0,3.0,2.0,0.0,0.0,5.0,502.0,72.9
Rawlins,Dodge,923.0,173.0,258.0,55.0,0.0,486.0,31.0,71.0,46.0,0.0,148.0,3.0,6.0,3.0,0.0,12.0,646.0,70.0
Vilula,Dodge,170.0,87.0,37.0,8.0,0.0,132.0,0.0,1.0,6.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,141.0,82.9
Yonker,Dodge,260.0,105.0,38.0,15.0,0.0,158.0,10.0,7.0,5.0,0.0,22.0,2.0,0.0,0.0,0.0,2.0,182.0,70.0
Jack Strickland Comm Center,Candler,6300.0,435.0,2281.0,361.0,0.0,3077.0,187.0,687.0,358.0,1.0,1233.0,10.0,40.0,10.0,0.0,60.0,4370.0,69.4
Sylvania,Screven,0.0,74.0,267.0,101.0,0.0,442.0,62.0,184.0,110.0,1.0,357.0,2.0,5.0,2.0,0.0,9.0,808.0,
Hunters,Screven,0.0,88.0,99.0,37.0,6.0,230.0,26.0,54.0,40.0,2.0,122.0,0.0,1.0,0.0,0.0,1.0,353.0,
Newington,Screven,0.0,221.0,223.0,48.0,0.0,492.0,77.0,112.0,63.0,0.0,252.0,7.0,2.0,0.0,0.0,9.0,753.0,
Jenk Hill Fire Sta,Screven,0.0,93.0,233.0,54.0,1.0,381.0,82.0,213.0,101.0,0.0,396.0,2.0,3.0,1.0,0.0,6.0,783.0,
Rocky Ford,Screven,0.0,110.0,136.0,43.0,0.0,289.0,20.0,35.0,28.0,0.0,83.0,2.0,3.0,0.0,0.0,5.0,377.0,
Bay Branch,Screven,0.0,194.0,335.0,61.0,1.0,591.0,17.0,62.0,23.0,0.0,102.0,3.0,5.0,0.0,0.0,8.0,701.0,
Hiltonia,Screven,0.0,92.0,207.0,27.0,0.0,326.0,83.0,122.0,79.0,0.0,284.0,2.0,3.0,0.0,0.0,5.0,615.0,
Screven Rec Dept,Screven,0.0,37.0,78.0,16.0,0.0,131.0,37.0,60.0,48.0,3.0,148.0,1.0,0.0,0.0,0.0,1.0,280.0,
Greenhill Church,Screven,0.0,162.0,259.0,52.0,0.0,473.0,39.0,62.0,46.0,0.0,147.0,2.0,4.0,0.0,0.0,6.0,626.0,
Sr Citizens Center,Screven,0.0,47.0,171.0,51.0,0.0,269.0,126.0,259.0,115.0,0.0,500.0,4.0,3.0,3.0,0.0,10.0,779.0,
Jackson Fire Station,Screven,0.0,107.0,80.0,25.0,0.0,212.0,16.0,23.0,33.0,0.0,72.0,2.0,0.0,1.0,0.0,3.0,287.0,
Cooperville Fire Station,Screven,0.0,18.0,29.0,9.0,1.0,57.0,16.0,65.0,43.0,2.0,126.0,2.0,0.0,0.0,0.0,2.0,185.0,
1A,Clarke,3017.0,285.0,236.0,187.0,1.0,709.0,258.0,462.0,434.0,2.0,1156.0,30.0,14.0,24.0,0.0,68.0,1933.0,64.1
1B,Clarke,3645.0,145.0,407.0,267.0,3.0,822.0,191.0,719.0,710.0,1.0,1621.0,15.0,30.0,22.0,0.0,67.0,2510.0,68.9
1C,Clarke,2242.0,160.0,279.0,156.0,0.0,595.0,135.0,516.0,556.0,0.0,1207.0,6.0,12.0,13.0,0.0,31.0,1833.0,81.8
1D,Clarke,2830.0,194.0,372.0,283.0,0.0,849.0,134.0,557.0,695.0,0.0,1386.0,16.0,17.0,16.0,0.0,49.0,2284.0,80.7
2A,Clarke,4341.0,150.0,175.0,140.0,0.0,465.0,438.0,731.0,636.0,0.0,1805.0,24.0,16.0,19.0,1.0,60.0,2330.0,53.7
2B,Clarke,5136.0,115.0,160.0,69.0,0.0,344.0,415.0,1117.0,705.0,7.0,2244.0,21.0,32.0,19.0,0.0,72.0,2660.0,51.8
3A,Clarke,2938.0,46.0,100.0,43.0,2.0,191.0,255.0,576.0,425.0,3.0,1259.0,14.0,15.0,11.0,0.0,40.0,1490.0,50.7
3B,Clarke,4122.0,131.0,253.0,81.0,0.0,465.0,243.0,966.0,546.0,4.0,1759.0,21.0,27.0,10.0,0.0,58.0,2282.0,55.4
4A,Clarke,2072.0,76.0,187.0,75.0,0.0,338.0,163.0,444.0,321.0,1.0,929.0,18.0,19.0,10.0,0.0,47.0,1314.0,63.4
4B,Clarke,4096.0,211.0,453.0,145.0,1.0,810.0,257.0,993.0,626.0,1.0,1877.0,25.0,31.0,17.0,0.0,73.0,2760.0,67.4
5A,Clarke,3007.0,102.0,377.0,206.0,1.0,686.0,177.0,834.0,576.0,0.0,1587.0,21.0,22.0,18.0,0.0,61.0,2334.0,77.6
5B,Clarke,3030.0,136.0,275.0,197.0,1.0,609.0,231.0,629.0,606.0,0.0,1466.0,18.0,25.0,25.0,0.0,68.0,2143.0,70.7
5C,Clarke,2053.0,55.0,84.0,48.0,0.0,187.0,129.0,785.0,471.0,1.0,1386.0,7.0,7.0,7.0,0.0,21.0,1594.0,77.6
5D,Clarke,3087.0,105.0,224.0,127.0,1.0,457.0,303.0,627.0,437.0,3.0,1370.0,18.0,23.0,8.0,0.0,49.0,1876.0,60.8
6A,Clarke,3780.0,203.0,633.0,352.0,0.0,1188.0,189.0,615.0,591.0,4.0,1399.0,27.0,27.0,29.0,0.0,83.0,2670.0,70.6
6B,Clarke,3865.0,179.0,457.0,304.0,0.0,940.0,222.0,711.0,757.0,1.0,1691.0,16.0,29.0,24.0,0.0,69.0,2700.0,69.9
6C,Clarke,3129.0,202.0,451.0,277.0,0.0,930.0,156.0,558.0,572.0,0.0,1286.0,14.0,25.0,13.0,0.0,52.0,2268.0,72.5
6D,Clarke,1701.0,96.0,151.0,74.0,0.0,321.0,125.0,450.0,376.0,0.0,951.0,13.0,11.0,9.0,0.0,33.0,1305.0,76.7
7A,Clarke,2968.0,165.0,390.0,261.0,1.0,817.0,180.0,574.0,555.0,1.0,1310.0,12.0,18.0,14.0,0.0,44.0,2171.0,73.1
7B,Clarke,3166.0,131.0,445.0,247.0,0.0,823.0,144.0,602.0,564.0,0.0,1310.0,19.0,23.0,16.0,2.0,60.0,2193.0,69.3
7C,Clarke,2733.0,172.0,369.0,216.0,1.0,758.0,152.0,590.0,505.0,1.0,1248.0,24.0,13.0,11.0,0.0,48.0,2054.0,75.2
8A,Clarke,3319.0,132.0,270.0,233.0,0.0,635.0,186.0,628.0,660.0,2.0,1476.0,15.0,26.0,14.0,1.0,56.0,2167.0,65.3
8B,Clarke,2317.0,112.0,173.0,163.0,0.0,448.0,174.0,430.0,463.0,0.0,1067.0,13.0,14.0,8.0,0.0,35.0,1550.0,66.9
8C,Clarke,3910.0,166.0,332.0,192.0,1.0,691.0,266.0,791.0,700.0,2.0,1759.0,24.0,30.0,25.0,0.0,79.0,2529.0,64.7
Palmyra Methodist,Dougherty,2761.0,324.0,296.0,182.0,6.0,808.0,214.0,291.0,225.0,5.0,735.0,11.0,12.0,14.0,0.0,37.0,1580.0,57.2
Sherwood Elementary,Dougherty,3205.0,257.0,265.0,181.0,1.0,704.0,378.0,515.0,283.0,0.0,1176.0,21.0,11.0,13.0,0.0,45.0,1925.0,60.1
Covenant Church,Dougherty,2334.0,321.0,210.0,128.0,0.0,659.0,244.0,287.0,203.0,2.0,736.0,11.0,5.0,3.0,0.0,19.0,1414.0,60.6
Greenbriar Church,Dougherty,3885.0,399.0,673.0,333.0,5.0,1410.0,258.0,665.0,551.0,4.0,1478.0,11.0,16.0,5.0,0.0,32.0,2920.0,75.2
Westover High School,Dougherty,3394.0,306.0,434.0,272.0,0.0,1012.0,324.0,680.0,400.0,0.0,1404.0,13.0,11.0,6.0,0.0,30.0,2446.0,72.1
Merry Acres Middle,Dougherty,2432.0,316.0,327.0,173.0,3.0,819.0,212.0,309.0,230.0,6.0,757.0,11.0,8.0,7.0,0.0,26.0,1602.0,65.9
Darton College,Dougherty,4289.0,133.0,259.0,130.0,3.0,525.0,472.0,918.0,587.0,6.0,1983.0,8.0,13.0,7.0,0.0,28.0,2536.0,59.1
Westtown Elementary,Dougherty,3265.0,42.0,39.0,37.0,0.0,118.0,496.0,616.0,643.0,1.0,1756.0,5.0,5.0,3.0,0.0,13.0,1887.0,57.8
2nd Mt Zion Church,Dougherty,1465.0,260.0,168.0,103.0,1.0,532.0,136.0,145.0,167.0,2.0,450.0,9.0,2.0,2.0,0.0,13.0,995.0,67.9
Mt Zion Center,Dougherty,3638.0,29.0,16.0,23.0,0.0,68.0,547.0,556.0,604.0,2.0,1709.0,10.0,12.0,5.0,0.0,27.0,1804.0,49.6
Alice Coachman Elementary,Dougherty,750.0,8.0,1.0,9.0,0.0,18.0,124.0,164.0,196.0,0.0,484.0,2.0,3.0,1.0,0.0,6.0,508.0,67.7
Carver Teen Center,Dougherty,1667.0,17.0,4.0,9.0,0.0,30.0,223.0,153.0,226.0,3.0,605.0,3.0,0.0,3.0,0.0,6.0,641.0,38.5
Shiloh Baptist Church,Dougherty,1510.0,16.0,25.0,12.0,0.0,53.0,258.0,163.0,209.0,0.0,630.0,6.0,2.0,6.0,0.0,14.0,697.0,46.2
Litman Cathedral,Dougherty,1486.0,22.0,14.0,12.0,1.0,49.0,225.0,183.0,199.0,21.0,628.0,7.0,3.0,1.0,1.0,12.0,689.0,46.4
Phoebe Healthworks,Dougherty,1574.0,74.0,34.0,27.0,0.0,135.0,165.0,147.0,173.0,1.0,486.0,5.0,6.0,4.0,0.0,15.0,636.0,40.4
Turner Elementary,Dougherty,1205.0,10.0,4.0,7.0,0.0,21.0,105.0,70.0,62.0,6.0,243.0,5.0,3.0,2.0,0.0,10.0,274.0,22.7
Jackson Heights Elementary,Dougherty,2549.0,19.0,12.0,16.0,0.0,47.0,391.0,318.0,352.0,0.0,1061.0,8.0,4.0,2.0,0.0,14.0,1122.0,44.0
Bill Miller Center,Dougherty,2404.0,50.0,34.0,30.0,0.0,114.0,326.0,369.0,265.0,5.0,965.0,4.0,7.0,5.0,0.0,16.0,1095.0,45.5
Radium Middle School,Dougherty,693.0,59.0,26.0,32.0,0.0,117.0,96.0,119.0,73.0,0.0,288.0,3.0,1.0,1.0,0.0,5.0,410.0,59.2
Putney 1st Baptist Church,Dougherty,2819.0,490.0,227.0,129.0,1.0,847.0,264.0,324.0,302.0,0.0,890.0,14.0,3.0,12.0,0.0,29.0,1766.0,62.6
International Studies,Dougherty,1042.0,85.0,62.0,36.0,0.0,183.0,105.0,182.0,181.0,1.0,469.0,3.0,3.0,1.0,0.0,7.0,659.0,63.2
Phoebe East,Dougherty,2965.0,89.0,53.0,57.0,1.0,200.0,449.0,376.0,348.0,3.0,1176.0,11.0,6.0,3.0,0.0,20.0,1396.0,47.1
Pine Bluff Baptist Church,Dougherty,2221.0,210.0,128.0,112.0,0.0,450.0,262.0,302.0,285.0,0.0,849.0,12.0,6.0,4.0,0.0,22.0,1321.0,59.5
Albany Middle School,Dougherty,1963.0,35.0,22.0,17.0,0.0,74.0,326.0,265.0,245.0,4.0,840.0,6.0,3.0,1.0,0.0,10.0,924.0,47.1
Christ Church,Dougherty,1879.0,443.0,300.0,181.0,0.0,924.0,104.0,253.0,201.0,1.0,559.0,6.0,4.0,3.0,0.0,13.0,1496.0,79.6
Lamar Reese Elementary,Dougherty,1098.0,21.0,14.0,9.0,1.0,45.0,168.0,196.0,253.0,4.0,621.0,3.0,2.0,2.0,0.0,7.0,673.0,61.3
1st Christian Church,Dougherty,1505.0,222.0,231.0,154.0,0.0,607.0,151.0,185.0,128.0,1.0,465.0,9.0,4.0,6.0,0.0,19.0,1091.0,72.5
Lovett Hall,Dougherty,1174.0,14.0,4.0,1.0,0.0,19.0,183.0,163.0,31.0,1.0,378.0,5.0,1.0,1.0,0.0,7.0,404.0,34.4
Statenville,Echols,2156.0,221.0,897.0,114.0,0.0,1232.0,31.0,101.0,30.0,0.0,162.0,5.0,14.0,5.0,0.0,24.0,1418.0,65.8
Precinct 1,Seminole,1292.0,217.0,361.0,68.0,0.0,646.0,47.0,113.0,50.0,0.0,210.0,5.0,8.0,0.0,0.0,13.0,869.0,67.3
Precinct 2,Seminole,1122.0,102.0,336.0,57.0,0.0,495.0,39.0,150.0,43.0,0.0,232.0,4.0,6.0,3.0,0.0,13.0,740.0,66.0
Precinct 3,Seminole,1174.0,39.0,62.0,10.0,0.0,111.0,131.0,281.0,86.0,0.0,498.0,0.0,6.0,0.0,0.0,6.0,615.0,52.4
Precinct 4,Seminole,1121.0,246.0,310.0,56.0,0.0,612.0,45.0,78.0,25.0,0.0,148.0,5.0,4.0,2.0,0.0,11.0,771.0,68.8
Precinct 5,Seminole,1227.0,330.0,323.0,80.0,0.0,733.0,29.0,35.0,35.0,0.0,99.0,7.0,2.0,2.0,0.0,11.0,843.0,68.7
South Dade,Dade,969.0,180.0,277.0,48.0,0.0,505.0,26.0,64.0,30.0,0.0,120.0,10.0,13.0,2.0,0.0,25.0,650.0,67.1
New Salem,Dade,1255.0,277.0,339.0,90.0,1.0,707.0,39.0,87.0,68.0,0.0,194.0,8.0,10.0,6.0,0.0,24.0,925.0,73.7
Davis,Dade,2012.0,409.0,659.0,83.0,1.0,1152.0,40.0,56.0,24.0,0.0,120.0,12.0,29.0,3.0,0.0,44.0,1316.0,65.4
New Home,Dade,711.0,201.0,143.0,46.0,0.0,390.0,26.0,21.0,19.0,1.0,67.0,7.0,3.0,1.0,0.0,11.0,468.0,65.8
West Brow,Dade,1237.0,278.0,270.0,87.0,0.0,635.0,50.0,78.0,54.0,0.0,182.0,13.0,9.0,3.0,0.0,25.0,842.0,68.1
