Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation
Crossroads,DeKalb,2898.0,21.0,39.0,31.0,0.0,91.0,230.0,874.0,627.0,7.0,1738.0,6.0,6.0,5.0,0.0,17.0,1846.0,63.7
Candler,DeKalb,3537.0,44.0,70.0,21.0,1.0,136.0,221.0,995.0,615.0,14.0,1845.0,6.0,11.0,4.0,0.0,21.0,2002.0,56.6
Cedar Grove Middle,DeKalb,1896.0,17.0,20.0,14.0,0.0,51.0,123.0,493.0,265.0,3.0,884.0,3.0,1.0,0.0,1.0,5.0,940.0,49.6
Cedar Grove South,DeKalb,3962.0,21.0,47.0,37.0,0.0,105.0,256.0,1569.0,755.0,6.0,2586.0,10.0,13.0,6.0,0.0,29.0,2720.0,68.7
Covington Hwy,DeKalb,995.0,3.0,7.0,2.0,0.0,12.0,54.0,101.0,60.0,5.0,220.0,0.0,2.0,1.0,1.0,4.0,236.0,23.7
Covington,DeKalb,2376.0,48.0,60.0,35.0,0.0,143.0,111.0,682.0,358.0,6.0,1157.0,6.0,10.0,9.0,0.0,25.0,1325.0,55.8
Clairemont East,DeKalb,3226.0,52.0,169.0,109.0,2.0,332.0,87.0,1116.0,1165.0,2.0,2370.0,3.0,17.0,16.0,0.0,36.0,2738.0,84.9
Coralwood,DeKalb,3153.0,104.0,359.0,233.0,3.0,699.0,108.0,903.0,948.0,2.0,1961.0,9.0,15.0,15.0,0.0,39.0,2699.0,85.6
Candler Park,DeKalb,4018.0,52.0,154.0,94.0,0.0,300.0,98.0,1695.0,1328.0,2.0,3123.0,7.0,15.0,17.0,0.0,39.0,3462.0,86.2
Clarkston Community Center,DeKalb,2495.0,62.0,99.0,49.0,3.0,213.0,194.0,610.0,389.0,9.0,1202.0,7.0,3.0,5.0,0.0,15.0,1430.0,57.3
Chamblee 2,DeKalb,3137.0,132.0,513.0,186.0,0.0,831.0,101.0,948.0,603.0,0.0,1652.0,8.0,14.0,15.0,0.0,37.0,2520.0,80.3
Doraville North,DeKalb,3065.0,138.0,210.0,121.0,4.0,473.0,262.0,716.0,415.0,5.0,1398.0,6.0,7.0,12.0,0.0,25.0,1896.0,61.9
Doraville South,DeKalb,1255.0,79.0,104.0,56.0,1.0,240.0,90.0,290.0,206.0,3.0,589.0,1.0,6.0,5.0,0.0,12.0,841.0,67.0
Dresden Elem,DeKalb,5141.0,188.0,463.0,209.0,6.0,866.0,322.0,1220.0,920.0,4.0,2466.0,10.0,25.0,15.0,0.0,50.0,3382.0,65.8
Decatur,DeKalb,1937.0,32.0,71.0,34.0,0.0,137.0,73.0,885.0,521.0,1.0,1480.0,2.0,6.0,4.0,0.0,12.0,1629.0,84.1
Dunaire Elem,DeKalb,2268.0,40.0,81.0,56.0,1.0,178.0,177.0,614.0,418.0,6.0,1215.0,3.0,5.0,3.0,0.0,11.0,1404.0,61.9
Dunwoody,DeKalb,3003.0,109.0,423.0,172.0,1.0,705.0,122.0,808.0,560.0,7.0,1497.0,4.0,13.0,14.0,0.0,31.0,2233.0,74.4
Dunwoody 2,DeKalb,2044.0,120.0,468.0,202.0,4.0,794.0,46.0,541.0,347.0,2.0,936.0,9.0,10.0,8.0,0.0,27.0,1757.0,86.0
Druid Hills High,DeKalb,2725.0,79.0,101.0,103.0,2.0,285.0,115.0,645.0,669.0,2.0,1431.0,2.0,7.0,9.0,0.0,18.0,1734.0,63.6
Dunwoody Library,DeKalb,2570.0,99.0,733.0,238.0,1.0,1071.0,44.0,632.0,451.0,2.0,1129.0,2.0,14.0,10.0,0.0,26.0,2226.0,86.6
East Lake,DeKalb,4139.0,51.0,151.0,57.0,1.0,260.0,206.0,1516.0,950.0,7.0,2679.0,10.0,37.0,7.0,0.0,54.0,2993.0,72.3
Embry Hills,DeKalb,1721.0,69.0,232.0,133.0,0.0,434.0,71.0,449.0,397.0,0.0,917.0,4.0,15.0,7.0,0.0,26.0,1377.0,80.0
Evansdale Elem,DeKalb,3441.0,145.0,398.0,216.0,0.0,759.0,174.0,873.0,671.0,5.0,1723.0,11.0,16.0,13.0,0.0,40.0,2522.0,73.3
Emory South,DeKalb,3241.0,100.0,216.0,120.0,0.0,436.0,151.0,964.0,909.0,7.0,2031.0,10.0,10.0,22.0,0.0,42.0,2509.0,77.4
Emory Road,DeKalb,2290.0,34.0,55.0,59.0,0.0,148.0,119.0,636.0,444.0,7.0,1206.0,2.0,0.0,3.0,0.0,5.0,1359.0,59.3
Fairington Elem,DeKalb,5455.0,24.0,47.0,32.0,0.0,103.0,437.0,1575.0,659.0,21.0,2692.0,4.0,9.0,7.0,0.0,20.0,2815.0,51.6
Fernbank Elem,DeKalb,2125.0,77.0,144.0,117.0,2.0,340.0,95.0,652.0,774.0,2.0,1523.0,5.0,8.0,13.0,0.0,26.0,1889.0,88.9
Flat Shoals Elem,DeKalb,2409.0,16.0,20.0,9.0,0.0,45.0,195.0,640.0,431.0,10.0,1276.0,5.0,4.0,0.0,0.0,9.0,1330.0,55.2
