Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
BERKSHIRE L,Gwinnett,3265.0,393.0,747.0,458.0,2.0,1600.0,87.0,185.0,99.0,0.0,371.0,1971.0,60.4
ROCKBRIDGE F,Gwinnett,5795.0,325.0,2022.0,761.0,4.0,3112.0,67.0,544.0,258.0,0.0,869.0,3981.0,68.7
SUGAR HILL F,Gwinnett,4112.0,439.0,1094.0,596.0,8.0,2137.0,169.0,379.0,198.0,0.0,746.0,2883.0,70.1
SUWANEE C,Gwinnett,5675.0,403.0,1538.0,1003.0,6.0,2950.0,152.0,485.0,289.0,0.0,926.0,3876.0,68.3
CATES O,Gwinnett,1434.0,189.0,371.0,263.0,4.0,827.0,72.0,115.0,65.0,0.0,252.0,1079.0,75.2
BAYCREEK E,Gwinnett,3265.0,309.0,873.0,449.0,2.0,1633.0,98.0,293.0,125.0,1.0,517.0,2150.0,65.8
BERKSHIRE M,Gwinnett,1864.0,189.0,497.0,336.0,2.0,1024.0,89.0,166.0,87.0,1.0,343.0,1367.0,73.3
MARTINS G,Gwinnett,2425.0,304.0,549.0,298.0,0.0,1151.0,90.0,151.0,70.0,1.0,312.0,1463.0,60.3
DULUTH H,Gwinnett,2813.0,228.0,668.0,547.0,4.0,1447.0,80.0,232.0,194.0,0.0,506.0,1953.0,69.4
BERKSHIRE N,Gwinnett,3128.0,146.0,974.0,659.0,1.0,1780.0,56.0,388.0,176.0,0.0,620.0,2400.0,76.7
PINCKNEYVILLE V,Gwinnett,1706.0,152.0,417.0,216.0,0.0,785.0,65.0,96.0,80.0,2.0,243.0,1028.0,60.3
PINCKNEYVILLE W,Gwinnett,4253.0,396.0,972.0,714.0,6.0,2088.0,115.0,306.0,208.0,0.0,629.0,2717.0,63.9
MARTINS H,Gwinnett,5037.0,499.0,1229.0,741.0,10.0,2479.0,126.0,329.0,234.0,1.0,690.0,3169.0,62.9
MARTINS I,Gwinnett,4078.0,429.0,926.0,556.0,6.0,1917.0,89.0,209.0,136.0,0.0,434.0,2351.0,57.7
MARTINS J,Gwinnett,3923.0,511.0,986.0,483.0,8.0,1988.0,105.0,169.0,104.0,1.0,379.0,2367.0,60.3
