,Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,calc_participation
196,Kite,Johnson,912.0,258.0,291.0,62.0,0.0,611.0,19.0,12.0,12.0,0.0,43.0,654.0,71.7
195,Bray,Johnson,790.0,142.0,261.0,48.0,0.0,451.0,33.0,58.0,46.0,0.0,137.0,588.0,74.4
194,Smith,Johnson,796.0,224.0,229.0,55.0,0.0,508.0,29.0,20.0,13.0,0.0,62.0,570.0,71.6
193,Wrightsville,Johnson,3113.0,129.0,933.0,169.0,0.0,1231.0,118.0,464.0,281.0,0.0,863.0,2094.0,67.3
16,Bethany Church,Lincoln,575.0,116.0,173.0,56.0,0.0,345.0,8.0,30.0,25.0,0.0,63.0,408.0,71.0
15,Tabernacle,Lincoln,1003.0,130.0,235.0,51.0,0.0,416.0,56.0,103.0,139.0,0.0,298.0,714.0,71.2
14,Faith Temple of Lincoln,Lincoln,489.0,77.0,118.0,28.0,0.0,223.0,21.0,52.0,53.0,0.0,126.0,349.0,71.4
13,Lincoln Center,Lincoln,1489.0,172.0,562.0,133.0,0.0,867.0,49.0,98.0,89.0,0.0,236.0,1103.0,74.1
12,Lincoln Club House,Lincoln,799.0,62.0,135.0,28.0,0.0,225.0,57.0,108.0,154.0,2.0,321.0,546.0,68.3
11,Midway,Lincoln,587.0,98.0,163.0,45.0,0.0,306.0,32.0,29.0,65.0,0.0,126.0,432.0,73.6
17,Martins Crossroad,Lincoln,1234.0,244.0,446.0,98.0,1.0,789.0,25.0,69.0,80.0,0.0,174.0,963.0,78.0
181,139,McDuffie,978.0,72.0,312.0,63.0,0.0,447.0,29.0,132.0,98.0,0.0,259.0,706.0,72.2
180,137,McDuffie,1202.0,70.0,578.0,113.0,0.0,761.0,24.0,85.0,65.0,0.0,174.0,935.0,77.8
179,136,McDuffie,1940.0,36.0,118.0,37.0,0.0,191.0,154.0,378.0,318.0,0.0,850.0,1041.0,53.7
178,135,McDuffie,3089.0,168.0,1058.0,237.0,0.0,1463.0,90.0,373.0,203.0,0.0,666.0,2129.0,68.9
177,134,McDuffie,1908.0,61.0,379.0,87.0,0.0,527.0,110.0,357.0,322.0,0.0,789.0,1316.0,69.0
176,133B,McDuffie,1959.0,200.0,744.0,131.0,0.0,1075.0,45.0,160.0,104.0,0.0,309.0,1384.0,70.6
173,131,McDuffie,1172.0,12.0,98.0,41.0,0.0,151.0,86.0,284.0,206.0,0.0,576.0,727.0,62.0
