,Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
414,SE Baptist Bldg,Glynn,2109.0,195.0,529.0,149.0,1.0,874.0,77.0,201.0,69.0,1.0,348.0,1222.0,57.9
415,Career Academy,Glynn,2960.0,267.0,739.0,289.0,1.0,1296.0,114.0,344.0,151.0,1.0,610.0,1906.0,64.4
416,C B Greer School,Glynn,3288.0,274.0,856.0,331.0,2.0,1463.0,106.0,407.0,173.0,0.0,686.0,2149.0,65.4
417,Ballard,Glynn,3286.0,230.0,814.0,303.0,2.0,1349.0,87.0,293.0,145.0,2.0,527.0,1876.0,57.1
418,Northside Baptist,Glynn,3313.0,247.0,708.0,388.0,0.0,1343.0,116.0,278.0,160.0,2.0,556.0,1899.0,57.3
419,The Chapel,Glynn,2971.0,180.0,602.0,315.0,1.0,1098.0,59.0,234.0,136.0,1.0,430.0,1528.0,51.4
420,College Place UMC,Glynn,2367.0,166.0,515.0,288.0,2.0,971.0,53.0,194.0,108.0,0.0,355.0,1326.0,56.0
412,Jekyll Island,Glynn,774.0,186.0,98.0,122.0,2.0,408.0,78.0,40.0,61.0,0.0,179.0,587.0,75.8
472,DULUTH A,Gwinnett,5042.0,313.0,1351.0,900.0,2.0,2566.0,134.0,523.0,405.0,0.0,1062.0,3628.0,72.0
471,GOODWINS A,Gwinnett,3921.0,409.0,971.0,528.0,1.0,1909.0,143.0,349.0,229.0,1.0,722.0,2631.0,67.1
470,BAYCREEK A,Gwinnett,2720.0,264.0,718.0,457.0,0.0,1439.0,108.0,316.0,176.0,0.0,600.0,2039.0,75.0
473,DUNCANS A,Gwinnett,4729.0,320.0,1509.0,635.0,2.0,2466.0,147.0,689.0,291.0,0.0,1127.0,3593.0,76.0
468,DACULA,Gwinnett,4777.0,356.0,1400.0,567.0,2.0,2325.0,123.0,553.0,245.0,0.0,921.0,3246.0,68.0
467,ROCKBRIDGE A,Gwinnett,3987.0,272.0,1180.0,542.0,1.0,1995.0,87.0,358.0,232.0,0.0,677.0,2672.0,67.0
466,HARBINS A,Gwinnett,7182.0,504.0,2159.0,863.0,6.0,3532.0,185.0,838.0,412.0,3.0,1438.0,4970.0,69.2
469,SUWANEE A,Gwinnett,1737.0,155.0,485.0,213.0,1.0,854.0,53.0,160.0,105.0,0.0,318.0,1172.0,67.5
474,PUCKETTS A,Gwinnett,5692.0,359.0,1915.0,743.0,1.0,3018.0,105.0,811.0,350.0,0.0,1266.0,4284.0,75.3
524,PINCKNEYVILLE N,Gwinnett,3819.0,460.0,890.0,418.0,5.0,1773.0,126.0,243.0,103.0,1.0,473.0,2246.0,58.8
476,BERKSHIRE A,Gwinnett,2555.0,336.0,483.0,295.0,1.0,1115.0,93.0,162.0,111.0,0.0,366.0,1481.0,58.0
568,BERKSHIRE L,Gwinnett,3265.0,352.0,715.0,436.0,2.0,1505.0,124.0,208.0,123.0,0.0,455.0,1960.0,60.0
569,ROCKBRIDGE F,Gwinnett,5795.0,290.0,1947.0,764.0,4.0,3005.0,94.0,593.0,274.0,0.0,961.0,3966.0,68.4
570,SUGAR HILL F,Gwinnett,4112.0,444.0,1051.0,562.0,6.0,2063.0,156.0,397.0,225.0,2.0,780.0,2843.0,69.1
571,SUWANEE C,Gwinnett,5675.0,393.0,1442.0,906.0,5.0,2746.0,152.0,537.0,388.0,1.0,1078.0,3824.0,67.4
572,CATES O,Gwinnett,1434.0,186.0,375.0,251.0,3.0,815.0,70.0,115.0,87.0,1.0,273.0,1088.0,75.9
573,BAYCREEK E,Gwinnett,3265.0,282.0,864.0,437.0,2.0,1585.0,113.0,282.0,149.0,1.0,545.0,2130.0,65.2
574,BERKSHIRE M,Gwinnett,1864.0,193.0,462.0,298.0,2.0,955.0,79.0,194.0,131.0,1.0,405.0,1360.0,73.0
575,MARTINS G,Gwinnett,2425.0,279.0,525.0,278.0,1.0,1083.0,111.0,174.0,92.0,0.0,377.0,1460.0,60.2
576,DULUTH H,Gwinnett,2813.0,233.0,629.0,551.0,2.0,1415.0,78.0,256.0,188.0,1.0,523.0,1938.0,68.9
577,BERKSHIRE N,Gwinnett,3128.0,152.0,926.0,582.0,1.0,1661.0,52.0,420.0,263.0,0.0,735.0,2396.0,76.6
578,PINCKNEYVILLE V,Gwinnett,1706.0,150.0,375.0,214.0,1.0,740.0,69.0,141.0,81.0,1.0,292.0,1032.0,60.5
579,PINCKNEYVILLE W,Gwinnett,4253.0,396.0,935.0,669.0,4.0,2004.0,114.0,337.0,247.0,2.0,700.0,2704.0,63.6
580,MARTINS H,Gwinnett,5037.0,479.0,1170.0,686.0,11.0,2346.0,143.0,375.0,293.0,1.0,812.0,3158.0,62.7
581,MARTINS I,Gwinnett,4078.0,398.0,843.0,508.0,5.0,1754.0,117.0,270.0,185.0,1.0,573.0,2327.0,57.1
582,MARTINS J,Gwinnett,3923.0,480.0,927.0,457.0,9.0,1873.0,141.0,227.0,136.0,1.0,505.0,2378.0,60.6
475,CATES A,Gwinnett,2387.0,200.0,574.0,378.0,1.0,1153.0,83.0,233.0,179.0,0.0,495.0,1648.0,69.0
583,GARNERS F,Gwinnett,1796.0,158.0,499.0,262.0,1.0,920.0,55.0,188.0,116.0,2.0,361.0,1281.0,71.3
566,PINCKNEYVILLE U,Gwinnett,2090.0,327.0,475.0,296.0,3.0,1101.0,88.0,133.0,112.0,2.0,335.0,1436.0,68.7
564,PINCKNEYVILLE T,Gwinnett,3201.0,310.0,637.0,419.0,3.0,1369.0,120.0,250.0,214.0,2.0,586.0,1955.0,61.1
