,Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
1221,Anna,Baker,166.0,62.0,27.0,4.0,1.0,94.0,10.0,6.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,122.0,73.5
948,City Hall Annex,Baldwin,957.0,42.0,74.0,37.0,0.0,153.0,61.0,142.0,108.0,1.0,312.0,3.0,7.0,8.0,0.0,18.0,483.0,50.5
949,Boddie,Baldwin,1381.0,39.0,80.0,23.0,0.0,142.0,130.0,238.0,159.0,0.0,527.0,7.0,4.0,3.0,0.0,14.0,683.0,49.5
950,Courthouse,Baldwin,506.0,27.0,70.0,16.0,0.0,113.0,29.0,76.0,61.0,0.0,166.0,1.0,5.0,2.0,0.0,8.0,287.0,56.7
947,South Milledgeville,Baldwin,1259.0,41.0,109.0,32.0,0.0,182.0,87.0,301.0,183.0,0.0,571.0,5.0,5.0,3.0,0.0,13.0,766.0,60.8
959,West Hardwick,Baldwin,2903.0,73.0,264.0,74.0,0.0,411.0,249.0,633.0,475.0,0.0,1357.0,10.0,29.0,12.0,0.0,51.0,1819.0,62.7
951,Fire Dept,Baldwin,1481.0,38.0,143.0,37.0,0.0,218.0,86.0,349.0,246.0,0.0,681.0,11.0,10.0,4.0,0.0,25.0,924.0,62.4
952,North Milledgeville,Baldwin,2211.0,129.0,527.0,146.0,1.0,803.0,136.0,448.0,237.0,0.0,821.0,8.0,23.0,9.0,0.0,40.0,1664.0,75.3
953,Meriweather,Baldwin,2832.0,247.0,890.0,222.0,0.0,1359.0,112.0,456.0,221.0,0.0,789.0,16.0,35.0,5.0,0.0,56.0,2204.0,77.8
954,East Baldwin,Baldwin,3826.0,284.0,1062.0,215.0,0.0,1561.0,177.0,634.0,316.0,0.0,1127.0,13.0,31.0,18.0,0.0,62.0,2750.0,71.9
955,Scottsboro,Baldwin,1101.0,129.0,230.0,45.0,3.0,407.0,60.0,121.0,90.0,0.0,271.0,7.0,12.0,2.0,0.0,21.0,699.0,63.5
