,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
360,SS13B,Fulton,1278.0,72.0,456.0,149.0,0.0,677.0,677.0,53.0
372,SS26,Fulton,3824.0,217.0,1102.0,342.0,16.0,1677.0,1677.0,43.9
370,SS20,Fulton,2404.0,144.0,612.0,312.0,9.0,1077.0,1077.0,44.8
369,SS19B,Fulton,2342.0,113.0,767.0,302.0,77.0,1259.0,1259.0,53.8
368,SS19A,Fulton,3299.0,171.0,977.0,357.0,9.0,1514.0,1514.0,45.9
367,SS18B,Fulton,241.0,6.0,72.0,46.0,1.0,125.0,125.0,51.9
366,SS18A,Fulton,657.0,31.0,222.0,120.0,0.0,373.0,373.0,56.8
365,SS17,Fulton,3686.0,239.0,1084.0,554.0,12.0,1889.0,1889.0,51.2
364,SS16,Fulton,2116.0,91.0,674.0,432.0,2.0,1199.0,1199.0,56.7
363,SS15B,Fulton,1730.0,161.0,496.0,181.0,2.0,840.0,840.0,48.6
362,SS15A,Fulton,2756.0,221.0,707.0,236.0,5.0,1169.0,1169.0,42.4
371,SS22,Fulton,2834.0,150.0,618.0,406.0,2.0,1176.0,1176.0,41.5
288,RW21,Fulton,3362.0,123.0,1196.0,473.0,12.0,1804.0,1804.0,53.7
336,SC30A,Fulton,157.0,5.0,41.0,47.0,5.0,98.0,98.0,62.4
334,SC27,Fulton,2361.0,124.0,614.0,402.0,0.0,1140.0,1140.0,48.3
309,SC09A,Fulton,1865.0,141.0,431.0,201.0,8.0,781.0,781.0,41.9
308,SC08H,Fulton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,SC08G,Fulton,14.0,0.0,3.0,0.0,0.0,3.0,3.0,21.4
306,SC08F,Fulton,793.0,36.0,253.0,88.0,1.0,378.0,378.0,47.7
305,SC08E,Fulton,724.0,49.0,260.0,55.0,2.0,366.0,366.0,50.6
304,SC08D,Fulton,605.0,33.0,195.0,64.0,0.0,292.0,292.0,48.3
303,SC08C,Fulton,91.0,5.0,40.0,14.0,0.0,59.0,59.0,64.8
